Symbol_original,Symbol_yfinance,Company Name,Sector
MMM,MMM,3M,Industrials
AOS,AOS,A. O. Smith,Industrials
ABT,ABT,Abbott Laboratories,Health Care
ABBV,ABBV,AbbVie,Health Care
ACN,ACN,Accenture,Information Technology
ADBE,ADBE,Adobe Inc.,Information Technology
AMD,AMD,Advanced Micro Devices,Information Technology
AES,AES,AES Corporation,Utilities
AFL,AFL,Aflac,Financials
A,A,Agilent Technologies,Health Care
APD,APD,Air Products,Materials
ABNB,ABNB,Airbnb,Consumer Discretionary
AKAM,AKAM,Akamai Technologies,Information Technology
ALB,ALB,Albemarle Corporation,Materials
ARE,ARE,Alexandria Real Estate Equities,Real Estate
ALGN,ALGN,Align Technology,Health Care
ALLE,ALLE,Allegion,Industrials
LNT,LNT,Alliant Energy,Utilities
ALL,ALL,Allstate,Financials
GOOGL,GOOGL,Alphabet Inc. (Class A),Communication Services
GOOG,GOOG,Alphabet Inc. (Class C),Communication Services
MO,MO,Altria,Consumer Staples
AMZN,AMZN,Amazon,Consumer Discretionary
AMCR,AMCR,Amcor,Materials
AEE,AEE,Ameren,Utilities
AEP,AEP,American Electric Power,Utilities
AXP,AXP,American Express,Financials
AIG,AIG,American International Group,Financials
AMT,AMT,American Tower,Real Estate
AWK,AWK,American Water Works,Utilities
AMP,AMP,Ameriprise Financial,Financials
AME,AME,Ametek,Industrials
AMGN,AMGN,Amgen,Health Care
APH,APH,Amphenol,Information Technology
ADI,ADI,Analog Devices,Information Technology
AON,AON,Aon plc,Financials
APA,APA,APA Corporation,Energy
APO,APO,Apollo Global Management,Financials
AAPL,AAPL,Apple Inc.,Information Technology
AMAT,AMAT,Applied Materials,Information Technology
APTV,APTV,Aptiv,Consumer Discretionary
ACGL,ACGL,Arch Capital Group,Financials
ADM,ADM,Archer Daniels Midland,Consumer Staples
ANET,ANET,Arista Networks,Information Technology
AJG,AJG,Arthur J. Gallagher & Co.,Financials
AIZ,AIZ,Assurant,Financials
T,T,AT&T,Communication Services
ATO,ATO,Atmos Energy,Utilities
ADSK,ADSK,Autodesk,Information Technology
ADP,ADP,Automatic Data Processing,Industrials
AZO,AZO,AutoZone,Consumer Discretionary
AVB,AVB,AvalonBay Communities,Real Estate
AVY,AVY,Avery Dennison,Materials
AXON,AXON,Axon Enterprise,Industrials
BKR,BKR,Baker Hughes,Energy
BALL,BALL,Ball Corporation,Materials
BAC,BAC,Bank of America,Financials
BAX,BAX,Baxter International,Health Care
BDX,BDX,Becton Dickinson,Health Care
BRK.B,BRK-B,Berkshire Hathaway,Financials
BBY,BBY,Best Buy,Consumer Discretionary
TECH,TECH,Bio-Techne,Health Care
BIIB,BIIB,Biogen,Health Care
BLK,BLK,BlackRock,Financials
BX,BX,Blackstone Inc.,Financials
XYZ,XYZ,"Block, Inc.",Financials
BK,BK,BNY Mellon,Financials
BA,BA,Boeing,Industrials
BKNG,BKNG,Booking Holdings,Consumer Discretionary
BSX,BSX,Boston Scientific,Health Care
BMY,BMY,Bristol Myers Squibb,Health Care
AVGO,AVGO,Broadcom,Information Technology
BR,BR,Broadridge Financial Solutions,Industrials
BRO,BRO,Brown & Brown,Financials
BF.B,BF-B,Brown–Forman,Consumer Staples
BLDR,BLDR,Builders FirstSource,Industrials
BG,BG,Bunge Global,Consumer Staples
BXP,BXP,"BXP, Inc.",Real Estate
CHRW,CHRW,C.H. Robinson,Industrials
CDNS,CDNS,Cadence Design Systems,Information Technology
CZR,CZR,Caesars Entertainment,Consumer Discretionary
CPT,CPT,Camden Property Trust,Real Estate
CPB,CPB,Campbell's Company (The),Consumer Staples
COF,COF,Capital One,Financials
CAH,CAH,Cardinal Health,Health Care
KMX,KMX,CarMax,Consumer Discretionary
CCL,CCL,Carnival,Consumer Discretionary
CARR,CARR,Carrier Global,Industrials
CAT,CAT,Caterpillar Inc.,Industrials
CBOE,CBOE,Cboe Global Markets,Financials
CBRE,CBRE,CBRE Group,Real Estate
CDW,CDW,CDW Corporation,Information Technology
COR,COR,Cencora,Health Care
CNC,CNC,Centene Corporation,Health Care
CNP,CNP,CenterPoint Energy,Utilities
CF,CF,CF Industries,Materials
CRL,CRL,Charles River Laboratories,Health Care
SCHW,SCHW,Charles Schwab Corporation,Financials
CHTR,CHTR,Charter Communications,Communication Services
CVX,CVX,Chevron Corporation,Energy
CMG,CMG,Chipotle Mexican Grill,Consumer Discretionary
CB,CB,Chubb Limited,Financials
CHD,CHD,Church & Dwight,Consumer Staples
CI,CI,Cigna,Health Care
CINF,CINF,Cincinnati Financial,Financials
CTAS,CTAS,Cintas,Industrials
CSCO,CSCO,Cisco,Information Technology
C,C,Citigroup,Financials
CFG,CFG,Citizens Financial Group,Financials
CLX,CLX,Clorox,Consumer Staples
CME,CME,CME Group,Financials
CMS,CMS,CMS Energy,Utilities
KO,KO,Coca-Cola Company (The),Consumer Staples
CTSH,CTSH,Cognizant,Information Technology
COIN,COIN,Coinbase,Financials
CL,CL,Colgate-Palmolive,Consumer Staples
CMCSA,CMCSA,Comcast,Communication Services
CAG,CAG,Conagra Brands,Consumer Staples
COP,COP,ConocoPhillips,Energy
ED,ED,Consolidated Edison,Utilities
STZ,STZ,Constellation Brands,Consumer Staples
CEG,CEG,Constellation Energy,Utilities
COO,COO,Cooper Companies (The),Health Care
CPRT,CPRT,Copart,Industrials
GLW,GLW,Corning Inc.,Information Technology
CPAY,CPAY,Corpay,Financials
CTVA,CTVA,Corteva,Materials
CSGP,CSGP,CoStar Group,Real Estate
COST,COST,Costco,Consumer Staples
CTRA,CTRA,Coterra,Energy
CRWD,CRWD,CrowdStrike,Information Technology
CCI,CCI,Crown Castle,Real Estate
CSX,CSX,CSX Corporation,Industrials
CMI,CMI,Cummins,Industrials
CVS,CVS,CVS Health,Health Care
DHR,DHR,Danaher Corporation,Health Care
DRI,DRI,Darden Restaurants,Consumer Discretionary
DDOG,DDOG,Datadog,Information Technology
DVA,DVA,DaVita,Health Care
DAY,DAY,Dayforce,Industrials
DECK,DECK,Deckers Brands,Consumer Discretionary
DE,DE,Deere & Company,Industrials
DELL,DELL,Dell Technologies,Information Technology
DAL,DAL,Delta Air Lines,Industrials
DVN,DVN,Devon Energy,Energy
DXCM,DXCM,Dexcom,Health Care
FANG,FANG,Diamondback Energy,Energy
DLR,DLR,Digital Realty,Real Estate
DG,DG,Dollar General,Consumer Staples
DLTR,DLTR,Dollar Tree,Consumer Staples
D,D,Dominion Energy,Utilities
DPZ,DPZ,Domino's,Consumer Discretionary
DASH,DASH,DoorDash,Consumer Discretionary
DOV,DOV,Dover Corporation,Industrials
DOW,DOW,Dow Inc.,Materials
DHI,DHI,D. R. Horton,Consumer Discretionary
DTE,DTE,DTE Energy,Utilities
DUK,DUK,Duke Energy,Utilities
DD,DD,DuPont,Materials
EMN,EMN,Eastman Chemical Company,Materials
ETN,ETN,Eaton Corporation,Industrials
EBAY,EBAY,eBay Inc.,Consumer Discretionary
ECL,ECL,Ecolab,Materials
EIX,EIX,Edison International,Utilities
EW,EW,Edwards Lifesciences,Health Care
EA,EA,Electronic Arts,Communication Services
ELV,ELV,Elevance Health,Health Care
EMR,EMR,Emerson Electric,Industrials
ENPH,ENPH,Enphase Energy,Information Technology
ETR,ETR,Entergy,Utilities
EOG,EOG,EOG Resources,Energy
EPAM,EPAM,EPAM Systems,Information Technology
EQT,EQT,EQT Corporation,Energy
EFX,EFX,Equifax,Industrials
EQIX,EQIX,Equinix,Real Estate
EQR,EQR,Equity Residential,Real Estate
ERIE,ERIE,Erie Indemnity,Financials
ESS,ESS,Essex Property Trust,Real Estate
EL,EL,Estée Lauder Companies (The),Consumer Staples
EG,EG,Everest Group,Financials
EVRG,EVRG,Evergy,Utilities
ES,ES,Eversource Energy,Utilities
EXC,EXC,Exelon,Utilities
EXE,EXE,Expand Energy,Energy
EXPE,EXPE,Expedia Group,Consumer Discretionary
EXPD,EXPD,Expeditors International,Industrials
EXR,EXR,Extra Space Storage,Real Estate
XOM,XOM,ExxonMobil,Energy
FFIV,FFIV,"F5, Inc.",Information Technology
FDS,FDS,FactSet,Financials
FICO,FICO,Fair Isaac,Information Technology
FAST,FAST,Fastenal,Industrials
FRT,FRT,Federal Realty Investment Trust,Real Estate
FDX,FDX,FedEx,Industrials
FIS,FIS,Fidelity National Information Services,Financials
FITB,FITB,Fifth Third Bancorp,Financials
FSLR,FSLR,First Solar,Information Technology
FE,FE,FirstEnergy,Utilities
FI,FI,Fiserv,Financials
F,F,Ford Motor Company,Consumer Discretionary
FTNT,FTNT,Fortinet,Information Technology
FTV,FTV,Fortive,Industrials
FOXA,FOXA,Fox Corporation (Class A),Communication Services
FOX,FOX,Fox Corporation (Class B),Communication Services
BEN,BEN,Franklin Resources,Financials
FCX,FCX,Freeport-McMoRan,Materials
GRMN,GRMN,Garmin,Consumer Discretionary
IT,IT,Gartner,Information Technology
GE,GE,GE Aerospace,Industrials
GEHC,GEHC,GE HealthCare,Health Care
GEV,GEV,GE Vernova,Industrials
GEN,GEN,Gen Digital,Information Technology
GNRC,GNRC,Generac,Industrials
GD,GD,General Dynamics,Industrials
GIS,GIS,General Mills,Consumer Staples
GM,GM,General Motors,Consumer Discretionary
GPC,GPC,Genuine Parts Company,Consumer Discretionary
GILD,GILD,Gilead Sciences,Health Care
GPN,GPN,Global Payments,Financials
GL,GL,Globe Life,Financials
